sentence_id,text,label
ea21103f-5018-41c2-9a51-2956cb9cc5d7_gen,"I got on my computer earlier this morning to purchase one of the cars listed in my favorites, and noticed that it says ""purchase pending"".",WHAT_IS_PURCHASE_PENDING
ca7b9c40-6642-4c6a-895c-6b614f1a267d_gen,How long does it take for a purchase pending car to be sold fully?,WHAT_IS_PURCHASE_PENDING
2c17f5a7-273b-4178-8388-e2915c1455e6_gen,How do I know if they actually sold?,WHAT_IS_PURCHASE_PENDING
828e1742-3220-41b5-8ce5-f622c60ea183_gen,The pic says not available for sale,WHAT_IS_PURCHASE_PENDING
f9b3f43a-fdc1-4c4d-b094-35fa109e300f_gen,it wont let me start it since its been reserved,WHAT_IS_PURCHASE_PENDING
3e37ed09-bc06-4876-b1bc-4780eeddf001_gen,When I go on my truvana account it says that this car is in the process of being sold to someone already.,WHAT_IS_PURCHASE_PENDING
80881829-90f2-444c-bce1-0d5fd1e13e75_gen,The website says it's not.,WHAT_IS_PURCHASE_PENDING
90d2785d-1639-4f0c-8b83-77a115106ec5_gen,just let me know if any become available,WHAT_IS_PURCHASE_PENDING
9d86a02b-5437-429b-a397-6a7ec3b81161_gen,"Unfortunately, just about everything is purchase Pending or coming soon.",WHAT_IS_PURCHASE_PENDING
db24bd15-5010-49fc-89ff-31a972bf610f_gen,Why it's showing unavailable?,WHAT_IS_PURCHASE_PENDING
4c05b08f-943b-41f1-ad61-45b316bf96be_gen,It says the car is currently unavailable for purchase,WHAT_IS_PURCHASE_PENDING
cdc844c2-9a38-4235-86ba-64d76d82abfd_gen,How do I be notified when a vehicle type on my search comes available?,WHAT_IS_PURCHASE_PENDING
a754211e-5333-4610-ae3e-255bd0d19616_gen,Its showing pending.,WHAT_IS_PURCHASE_PENDING
79d9526f-c092-4897-b056-06fddac65bba_gen,"if any become available, please let me know",WHAT_IS_PURCHASE_PENDING
53823481-cf0f-4bc5-b301-803d72e4f3e7_gen,"Hi, I put a deposit on holding this car and I’m seeing a notification that says someone else has started the process of purchasing this vehicle?",WHAT_IS_PURCHASE_PENDING
65c23ac6-e444-4bc8-8c7a-a906d2beb17a_gen,"There is a 2017 Kia Sedona up for sale on the website, but it says it’s not available.",WHAT_IS_PURCHASE_PENDING
5df92774-5181-4152-a39b-7fc094c36141_gen,I had a vehicle I wanted to purchase it says purchase pending but not for me,WHAT_IS_PURCHASE_PENDING
1b41f3a0-a2b1-4bf2-a977-e15ef6a3f06c_gen,It's showing nothing,WHAT_IS_PURCHASE_PENDING
571b89dd-beda-46f2-8a67-4b6595b66f01_gen,This car says its a sale that is pending?,WHAT_IS_PURCHASE_PENDING
d83de57a-710f-4e0e-87e5-77794da894b2_gen,Is there a chance it will be available if it says purchase pending?,WHAT_IS_PURCHASE_PENDING
5176a968-5e80-4004-a205-5f823fbd008c_gen,Can you tell me when there will be another one available?,WHAT_IS_PURCHASE_PENDING
5f012607-f63c-49c1-9c87-f17c235fcc6b_gen,"i viewed a car this morning that says it would be available the 16th, now the same car says it's available the 28th.",WHAT_IS_PURCHASE_PENDING
c8eedece-2f3d-4b9a-bb25-35c0b3a6878e_gen,I am interested in buying this car but the website says it is pending- is that true?,WHAT_IS_PURCHASE_PENDING
f3230ef2-a6cd-48e4-8557-f6ff0be161fd_gen,It says car not available,WHAT_IS_PURCHASE_PENDING
f94a20b1-9c4d-434c-9d97-b52fd5547c8e_gen,I was actually planning to purchase a car but now it says sold.,WHAT_IS_PURCHASE_PENDING
8cdcddc3-669e-41c3-bb17-9ca5b66d62e5_gen,but it looks like it is still pending,WHAT_IS_PURCHASE_PENDING
828f6e64-11cb-4dc6-9947-4a727ad16182_gen,I was trying to view it just now and it says it's reserved?,WHAT_IS_PURCHASE_PENDING
52270b18-58da-4358-b5b1-01d8ea03809e_gen,Yes the website says purchase pending is that true,WHAT_IS_PURCHASE_PENDING
e5f5b5d0-2f35-4d06-aea6-db2055558afb_gen,It says the vehicle is currently unavailable for purchase,WHAT_IS_PURCHASE_PENDING
635bd279-1cae-4c92-8da2-d4bbb9c1370a_gen,What does purchase pending mean ?,WHAT_IS_PURCHASE_PENDING
48ea5b07-085a-484f-8a91-bdb042ebeb19_gen,Can I be notified if car doesn't sell,WHAT_IS_PURCHASE_PENDING
01e236e4-df31-4d5b-ab64-c4e90cf1bc36_gen,So it won't be available until tomorrow?,WHAT_IS_PURCHASE_PENDING
576fe410-4020-4d33-b6bd-3a8051d85399_gen,is this car sold or just pending purchase?,WHAT_IS_PURCHASE_PENDING
44e804d0-e7e4-4643-a353-aaaf5a9084f3_gen,The link says: “This vehicle is currently not available for purchase.”,WHAT_IS_PURCHASE_PENDING
5c73a4e4-5ae7-4b76-885b-5501f15af271_gen,shows pending,WHAT_IS_PURCHASE_PENDING
7672e2ab-41b0-4f40-9cf1-96e872f5db91_gen,I would like to know if that Mustang that was pending a sale becomes available again,WHAT_IS_PURCHASE_PENDING
2f74b62d-5ed3-4eb4-aaea-0d9e243c548b_gen,I have been looking for one for a long time...is it still available,WHAT_IS_PURCHASE_PENDING
140e4a74-8071-4cd2-92bf-038117565077_gen,When will this car be available??,WHAT_IS_PURCHASE_PENDING
b2bc1741-2f88-4aee-b992-f2d74d2975f3_gen,The website says the vehicle I inquired about is pending a purchase,WHAT_IS_PURCHASE_PENDING
89fe8889-9ac9-4bad-9282-266238949163_gen,"However, the vehicle I���m looking at says it���s not available for purchase",WHAT_IS_PURCHASE_PENDING
f0f337e0-4a76-48b3-b7b0-520da23367a1_gen,Link you sent me days not available for purchase?,WHAT_IS_PURCHASE_PENDING
275e1b72-ee1a-4d60-b87b-ee4338dd95f1_gen,"Once reloading, the car says it's pending purchase.",WHAT_IS_PURCHASE_PENDING
2240bc52-6ee8-4669-b26f-75c9fb38deb3_gen,wHAT DOES PURCHASE PENDING MEAN?,WHAT_IS_PURCHASE_PENDING
66b01a48-c54c-445d-bc9b-7c35ea9a677a_gen,Why is it not available for purchase,WHAT_IS_PURCHASE_PENDING
a9526c67-4904-4fe4-bfa9-641dfb851a85_gen,It seems like most of the vehicles I'm looking for are sold before they appear in my search.,WHAT_IS_PURCHASE_PENDING
8f78f5cd-2bcd-495e-878d-517239f4f0ad_gen,"It says the vehicle is reserved, is that from me?",WHAT_IS_PURCHASE_PENDING
f3ffc509-4b95-44ec-83f1-ef44d96a2657_gen,What does Purchase Pending mean?,WHAT_IS_PURCHASE_PENDING
3ca61aee-9901-4457-befe-6262e34c952b_gen,Websites now says purchase pending?,WHAT_IS_PURCHASE_PENDING
51c07191-ecc7-4d94-b706-0ae9ecf84c2e_gen,When will it be available?,WHAT_IS_PURCHASE_PENDING
d2403c4d-58f3-4ff3-a774-36714c118e3d_gen,Are the cars pending purchase removed?,WHAT_IS_PURCHASE_PENDING
640fcf72-5161-43d4-a935-c8aa3ba3bfc1_gen,Website shows it unavailable.,WHAT_IS_PURCHASE_PENDING
b42d8b07-14f2-47d5-bbba-19e799487c9f_gen,There are a few Prius vehicles I have as saved but all say they are pending.,WHAT_IS_PURCHASE_PENDING
1da4cc90-1ad2-4bd7-8d65-c4de7a3dfa57_gen,Is the Cascada pending sale?,WHAT_IS_PURCHASE_PENDING
ee753048-dde4-4f99-b865-ef936733e83c_gen,Do cars become available after they say purchase pending,WHAT_IS_PURCHASE_PENDING
b6fef67e-d29a-4830-b51f-ac9b1f254347_gen,What exactly does purchase pending mean?,WHAT_IS_PURCHASE_PENDING
722d6be2-3c7a-4118-970c-12d1aafc8885_gen,"If the sticker ""purchase Pending"" is on the image, does that mean the car is not available at this time or does it mean another buyer has bought it?",WHAT_IS_PURCHASE_PENDING
c9bf722a-c1e2-46b0-81de-c3454b9c7299_gen,It says another customer started the buying process,WHAT_IS_PURCHASE_PENDING
78f4e378-be7c-4e72-a580-60d426ee617c_gen,If didn't say purchase pending 5 mins agov,WHAT_IS_PURCHASE_PENDING
aa47722f-7866-4986-bf12-5be540993d83_gen,when is this car is ready for purchase,WHAT_IS_PURCHASE_PENDING
bf5e5a4b-6d17-4ec3-a9cd-d9be3b61adab_gen,It is not available but shows in my cart?,WHAT_IS_PURCHASE_PENDING
fcc82d50-ac50-47b7-b68a-c356da85fe96_gen,It says unconfirmed vehicle lock.,WHAT_IS_PURCHASE_PENDING
219d1e4c-5013-43f4-87b2-e667cdced910_gen,"Thank you, it said purchase pending for them online, so I hadn't looked too hard at them",WHAT_IS_PURCHASE_PENDING
32421e3f-010c-4852-8c3b-b0e8feefd457_gen,it says it's purchase pending,WHAT_IS_PURCHASE_PENDING
bfadfaee-925b-4882-b668-b9f963ba0da5_gen,One was pending,WHAT_IS_PURCHASE_PENDING
b22e2bed-63b5-45cd-9475-f351d91fd6b7_gen,I was only interested in the Abarth looks like it's already pending thank you,WHAT_IS_PURCHASE_PENDING
65bfad63-3140-4fbb-9d7f-ddf448fc4402_gen,All the cars I qualify for are taken.,WHAT_IS_PURCHASE_PENDING
a8af9f2e-b721-49e6-a02e-26af134c3ac9_gen,Is the preview still unavailable?,WHAT_IS_PURCHASE_PENDING
f385c2f2-f89e-4919-981b-cdda7bacc59a_gen,Its says vehicle not available on that link,WHAT_IS_PURCHASE_PENDING
ad6597f9-473d-4341-b02b-aaf7bc54c4a3_gen,Every vehicle says purchase pending.,WHAT_IS_PURCHASE_PENDING
